symbol,strike,type,expiration,TTM_days,mark_price,last_price,volume,open_interest,underlying_price
BTC-15JUN25-94000-C,94000.0,Call,2025-06-15,0.08,0.11290698,,0.0,0.0,105964.66544620582
BTC-15JUN25-94000-P,94000.0,Put,2025-06-15,0.08,0.0,,3.1,81.2,105964.66544620582
BTC-15JUN25-96000-C,96000.0,Call,2025-06-15,0.08,0.09403266,,0.0,0.0,105964.66544620582
BTC-15JUN25-96000-P,96000.0,Put,2025-06-15,0.08,0.0,,5.1,30.3,105964.66544620582
BTC-15JUN25-98000-C,98000.0,Call,2025-06-15,0.08,0.07515834,,0.0,0.0,105964.66544620582
BTC-15JUN25-98000-P,98000.0,Put,2025-06-15,0.08,0.0,,32.3,46.0,105964.66544620582
BTC-15JUN25-100000-C,100000.0,Call,2025-06-15,0.08,0.05628402,,0.0,0.0,105964.66544620582
BTC-15JUN25-100000-P,100000.0,Put,2025-06-15,0.08,0.0,,10.8,148.2,105964.66544620582
BTC-15JUN25-101000-C,101000.0,Call,2025-06-15,0.08,0.04684686,,0.0,0.0,105964.66544620582
BTC-15JUN25-101000-P,101000.0,Put,2025-06-15,0.08,0.0,,17.1,78.3,105964.66544620582
BTC-15JUN25-102000-C,102000.0,Call,2025-06-15,0.08,0.03740981,,0.2,0.9,105964.66544620582
BTC-15JUN25-102000-P,102000.0,Put,2025-06-15,0.08,1.1e-07,,22.1,182.3,105964.66544620582
BTC-15JUN25-103000-C,103000.0,Call,2025-06-15,0.08,0.02797265,,0.2,3.1,105964.66544620582
BTC-15JUN25-103000-P,103000.0,Put,2025-06-15,0.08,1.1e-07,,126.6,234.9,105964.66544620582
BTC-15JUN25-103500-C,103500.0,Call,2025-06-15,0.08,0.02325406,,0.5,0.5,105964.66544620582
BTC-15JUN25-103500-P,103500.0,Put,2025-06-15,0.08,1e-07,,17.7,15.3,105964.66544620582
BTC-15JUN25-104000-C,104000.0,Call,2025-06-15,0.08,0.01853561,,0.1,34.1,105964.66544620582
BTC-15JUN25-104000-P,104000.0,Put,2025-06-15,0.08,2.3e-07,,51.3,158.4,105964.66544620582
BTC-15JUN25-104500-C,104500.0,Call,2025-06-15,0.08,0.01381838,,45.9,44.4,105966.60754357204
BTC-15JUN25-104500-P,104500.0,Put,2025-06-15,0.08,1.58e-06,,91.3,68.3,105964.66544620582
BTC-15JUN25-105000-C,105000.0,Call,2025-06-15,0.08,0.00910959,,94.3,299.7,105964.66544620582
BTC-15JUN25-105000-P,105000.0,Put,2025-06-15,0.08,1.138e-05,,76.7,250.4,105964.66544620582
BTC-15JUN25-105500-C,105500.0,Call,2025-06-15,0.08,0.00445394,,54.1,38.6,105966.60754357204
BTC-15JUN25-105500-P,105500.0,Put,2025-06-15,0.08,7.43e-05,,23.2,21.8,105964.66544620582
BTC-15JUN25-106000-C,106000.0,Call,2025-06-15,0.08,0.00069573,,85.8,252.4,105967.31958942262
BTC-15JUN25-106000-P,106000.0,Put,2025-06-15,0.08,0.00103467,,37.9,179.5,105964.66544620582
BTC-15JUN25-106500-C,106500.0,Call,2025-06-15,0.08,7.972e-05,,51.5,14.3,105964.66544620582
BTC-15JUN25-106500-P,106500.0,Put,2025-06-15,0.08,0.00513724,,0.0,0.0,105964.66544620582
BTC-15JUN25-107000-C,107000.0,Call,2025-06-15,0.08,1.284e-05,,64.2,187.3,105964.66544620582
BTC-15JUN25-107000-P,107000.0,Put,2025-06-15,0.08,0.00978894,,0.0,9.7,105964.66544620582
BTC-15JUN25-108000-C,108000.0,Call,2025-06-15,0.08,2.3e-07,,32.1,97.2,105964.66544620582
BTC-15JUN25-108000-P,108000.0,Put,2025-06-15,0.08,0.01921349,,0.2,37.1,105964.66544620582
BTC-15JUN25-109000-C,109000.0,Call,2025-06-15,0.08,1e-08,,17.6,85.4,105964.66544620582
BTC-15JUN25-109000-P,109000.0,Put,2025-06-15,0.08,0.02865043,,0.0,0.1,105964.66544620582
BTC-15JUN25-110000-C,110000.0,Call,2025-06-15,0.08,0.0,,11.1,53.2,105964.66544620582
BTC-15JUN25-110000-P,110000.0,Put,2025-06-15,0.08,0.03808758,,0.0,0.0,105964.66544620582
BTC-15JUN25-111000-C,111000.0,Call,2025-06-15,0.08,0.0,,0.5,118.8,105964.66544620582
BTC-15JUN25-111000-P,111000.0,Put,2025-06-15,0.08,0.04752474,,0.0,0.1,105964.66544620582
BTC-15JUN25-112000-C,112000.0,Call,2025-06-15,0.08,0.0,,0.1,26.0,105964.66544620582
BTC-15JUN25-112000-P,112000.0,Put,2025-06-15,0.08,0.0569619,,0.0,0.0,105964.66544620582
BTC-15JUN25-113000-C,113000.0,Call,2025-06-15,0.08,0.0,,0.0,14.1,105964.66544620582
BTC-15JUN25-113000-P,113000.0,Put,2025-06-15,0.08,0.06639906,,0.0,0.0,105964.66544620582
BTC-15JUN25-114000-C,114000.0,Call,2025-06-15,0.08,0.0,,0.0,6.2,105964.66544620582
BTC-15JUN25-114000-P,114000.0,Put,2025-06-15,0.08,0.07583622,,0.0,0.0,105964.66544620582
BTC-15JUN25-115000-C,115000.0,Call,2025-06-15,0.08,0.0,,0.0,5.4,105964.66544620582
BTC-15JUN25-115000-P,115000.0,Put,2025-06-15,0.08,0.08527338,,0.0,0.0,105964.66544620582
BTC-15JUN25-116000-C,116000.0,Call,2025-06-15,0.08,0.0,,0.0,58.1,105964.66544620582
BTC-15JUN25-116000-P,116000.0,Put,2025-06-15,0.08,0.09471054,,0.0,0.0,105964.66544620582
BTC-15JUN25-118000-C,118000.0,Call,2025-06-15,0.08,0.0,,0.0,0.0,105964.66544620582
BTC-15JUN25-118000-P,118000.0,Put,2025-06-15,0.08,0.11358486,,0.0,0.0,105964.66544620582
BTC-15JUN25-120000-C,120000.0,Call,2025-06-15,0.08,0.0,,0.0,0.1,105964.66544620582
BTC-15JUN25-120000-P,120000.0,Put,2025-06-15,0.08,0.13245918,,0.0,0.0,105964.66544620582
BTC-15JUN25-122000-C,122000.0,Call,2025-06-15,0.08,0.0,,0.0,1.2,105964.66544620582
BTC-15JUN25-122000-P,122000.0,Put,2025-06-15,0.08,0.1513335,,0.0,0.0,105964.66544620582
BTC-15JUN25-124000-C,124000.0,Call,2025-06-15,0.08,0.0,,0.0,0.0,105964.66544620582
BTC-15JUN25-124000-P,124000.0,Put,2025-06-15,0.08,0.17020782,,0.0,0.0,105964.66544620582
BTC-15JUN25-126000-C,126000.0,Call,2025-06-15,0.08,0.0,,0.0,0.0,105964.66544620582
BTC-15JUN25-126000-P,126000.0,Put,2025-06-15,0.08,0.18908214,,0.0,0.0,105964.66544620582
BTC-16JUN25-94000-C,94000.0,Call,2025-06-16,1.08,0.11297821,,0.0,0.0,105969.23235696467
BTC-16JUN25-94000-P,94000.0,Put,2025-06-16,1.08,3.31e-05,,13.2,55.2,105969.23235696467
BTC-16JUN25-96000-C,96000.0,Call,2025-06-16,1.08,0.09412137,,0.0,0.0,105969.23235696467
BTC-16JUN25-96000-P,96000.0,Put,2025-06-16,1.08,4.977e-05,,25.2,25.8,105969.23235696467
BTC-16JUN25-98000-C,98000.0,Call,2025-06-16,1.08,0.0753797,,0.0,0.0,105969.23235696467
BTC-16JUN25-98000-P,98000.0,Put,2025-06-16,1.08,0.0001816,,39.4,95.2,105969.23235696467
BTC-16JUN25-100000-C,100000.0,Call,2025-06-16,1.08,0.05665552,,0.0,0.0,105969.23235696467
BTC-16JUN25-100000-P,100000.0,Put,2025-06-16,1.08,0.00033093,,26.9,630.2,105969.23235696467
BTC-16JUN25-101000-C,101000.0,Call,2025-06-16,1.08,0.04733861,,0.0,0.0,105969.23235696467
