date,Symbol,Open,High,Low,close,Volume USDT,tradecount,IV,Fear_index,Fear_classification,ma200_raw,dist_ma200,ratio_ma200,zraw_close_60,zraw_close_120,ma30_raw,ma90_raw,ma30_90_diff,vol_30mean,tc_30mean,vol_spike_10,tc_spike_10,ret1_raw,ret3_raw,ret5_raw,hv20_raw,RSI14_raw,IV_pct,Fear_idx
2021-05-22,BTCUSDT,37263.35,38829.0,35200.62,37449.73,4730567647.6744,2716691,140.05,12.0,Extreme Fear,54389.8065,-16940.076499999996,0.6885431739861035,-2.7139727408744037,-2.7139727408744037,51049.15633333333,54389.8065,-3340.6501666666663,4809923537.368312,2513034.8,0.7011073036523676,0.8060578413024789,0.005307633064632,0.02070422830797103,-0.13983886275082658,0.9588687933933536,16.129264940738167,1.4005,0.12
2021-05-23,BTCUSDT,37458.51,38270.64,31111.01,34655.25,7431242463.203841,4082004,156.2,14.0,Extreme Fear,54066.28918032787,-19411.03918032787,0.640977039952085,-2.885236207027604,-2.903476360135804,50500.159999999996,54066.28918032787,-3566.1291803278727,4838595042.226176,2552827.033333333,1.0992904834901867,1.193047840557759,-0.07461949658916112,-0.14487729552709028,-0.19123855478371177,0.9721018637975212,15.09163863164423,1.5619999999999998,0.14
2021-05-24,BTCUSDT,34681.44,39920.0,34031.0,38796.29,5996773032.151344,3510578,125.12,10.0,Extreme Fear,53819.99887096774,-15023.708870967741,0.7208526721268287,-2.1517160524552335,-2.1747617067424727,50125.10833333333,53819.99887096774,-3694.890537634412,4946418109.868598,2631013.466666667,0.861837855654,0.9852970452326477,0.1194924289970496,0.04145494431038754,0.057405146730356904,1.0777078814531698,26.027360600408628,1.2512,0.1
2021-05-25,BTCUSDT,38810.99,39791.77,36419.62,38324.72,4253519579.378729,2508310,129.11,22.0,Extreme Fear,53574.04206349206,-15249.322063492058,0.7153598743693883,-2.0956367676317025,-2.140273279333664,49767.04,53574.04206349206,-3807.0020634920584,4992606818.674979,2665441.1666666665,0.6121584446474942,0.6996454229096074,-0.012155028225637077,0.02336438740679836,-0.054332656247840894,1.0202986057519918,23.879134917294536,1.2911000000000001,0.22
2021-05-26,BTCUSDT,38324.72,40841.0,37800.44,39241.91,4113717505.2635546,2432319,117.02,22.0,Extreme Fear,53350.1025,-14108.192499999997,0.7355545380629775,-1.8740914683592087,-1.9348354509855124,49275.05733333333,53350.1025,-4075.0451666666704,4977874452.070518,2674033.6666666665,0.6029175395165376,0.6828101836765539,0.023932073084943717,0.1323510867761739,0.05341725184761836,1.031110988080196,32.08393128806087,1.1702,0.22
2021-05-27,BTCUSDT,39241.92,40411.14,37134.27,38529.98,3361413526.053544,2102182,107.26,27.0,Fear,53122.10061538462,-14592.120615384614,0.7253097967447731,-1.8729772141855354,-1.9549036758051526,48725.657666666666,53122.10061538462,-4396.442948717951,4991597591.9934025,2691817.533333333,0.5232192013356939,0.6091948876687693,-0.018142083298188116,-0.006864316149817307,0.028845334799476596,1.0240428829320436,31.223229890501045,1.0726,0.27
2021-05-28,BTCUSDT,38529.99,38877.83,34684.0,35663.49,4926260941.933613,2659178,122.55,21.0,Extreme Fear,52857.57621212121,-17194.086212121212,0.6747091440000933,-2.1156146234864632,-2.229469383309097,48086.23333333333,52857.57621212121,-4771.34287878788,5055131530.474301,2719455.4,0.7694345248221844,0.768425118300361,-0.07439635317744797,-0.06943899394437858,0.02909342740277432,1.0286476220525436,28.0953905328808,1.2255,0.21
2021-05-29,BTCUSDT,35661.79,37338.58,33632.76,34605.15,3949843335.322595,2169643,129.3,18.0,Extreme Fear,52585.15194029851,-17980.001940298505,0.6580783495555601,-2.1207220121726014,-2.255460156886674,47454.57166666666,52585.15194029851,-5130.580273631844,5092685630.469187,2732987.6333333333,0.7247873557382144,0.7126636098987723,-0.029675727193272383,-0.11815836690925596,-0.10802940178042797,1.0278870257535266,29.965883219896355,1.2930000000000001,0.18
2021-05-30,BTCUSDT,34605.15,36488.0,33379.0,35641.27,2601994948.148242,1559892,123.61,10.0,Extreme Fear,52335.97720588236,-16694.70720588236,0.6810089713199061,-1.8985003781950054,-2.0422893062956073,46719.471666666665,52335.97720588236,-5616.505539215694,5052479216.316148,2709395.7666666666,0.5301680831507147,0.5624448400820751,0.029941208172771905,-0.07497304696239149,-0.070018776392887,1.042596774890099,32.62301243869467,1.2361,0.1
2021-05-31,BTCUSDT,35641.26,37499.0,34153.84,37253.81,3406047734.831128,1896359,106.47,18.0,Extreme Fear,52117.39507246376,-14863.585072463764,0.7148056795279674,-1.6382779488675139,-1.7875972458377232,46034.58633333333,52117.39507246376,-6082.808739130429,5084002708.982435,2714507.3,0.7607645063689147,0.739691641303739,0.04524361786210207,0.04459238285428602,-0.050662671618175725,1.061330975599993,39.44414115844797,1.0647,0.18
2021-06-01,BTCUSDT,37253.82,37894.81,35666.0,36693.09,2973928300.375587,1760417,108.23,20.0,Extreme Fear,51897.04785714286,-15203.957857142865,0.7070361709399186,-1.6317213438894391,-1.7976393432196192,45371.749,51897.04785714286,-6525.298857142858,5113474877.9803,2727466.6,0.6913742140224696,0.7132715111234679,-0.015051346426043444,0.060336106042019555,-0.04767430452857768,0.985278918542237,39.61387374274645,1.0823,0.2
