date,Symbol,Open,High,Low,close,volume_usdt,tradecount,IV,Fear_index,Fear_classification,ma200_raw,dist_ma200,zraw_close_60,ma30_raw,ma90_raw,vol_30mean,hv20_raw,RSI14_raw,Fear_idx
2021/5/22,BTCUSDT,37263.35,38829,35200.62,37449.73,4730567647.6744,2716691,140.05,12,Extreme Fear,54389.8065,-16940.0765,-2.713972741,51049.15633333333,54389.8065,4809923537.368312,0.9588687933933536,16.129264940738167,0.12
2021/5/23,BTCUSDT,37458.51,38270.64,31111.01,34655.25,7431242463.203841,4082004,156.2,14,Extreme Fear,54066.28918032787,-19411.03918,-2.885236207,50500.159999999996,54066.28918032787,4838595042.226176,0.9721018637975212,15.09163863164423,0.14
2021/5/24,BTCUSDT,34681.44,39920,34031,38796.29,5996773032.151344,3510578,125.12,10,Extreme Fear,53819.99887096774,-15023.70887,-2.151716052,50125.10833333333,53819.99887096774,4946418109.868598,1.0777078814531698,26.027360600408628,0.1
2021/5/25,BTCUSDT,38810.99,39791.77,36419.62,38324.72,4253519579.378729,2508310,129.11,22,Extreme Fear,53574.04206349206,-15249.32206,-2.095636768,49767.04,53574.04206349206,4992606818.674979,1.0202986057519918,23.879134917294536,0.22
2021/5/26,BTCUSDT,38324.72,40841,37800.44,39241.91,4113717505.2635546,2432319,117.02,22,Extreme Fear,53350.1025,-14108.1925,-1.874091468,49275.05733333333,53350.1025,4977874452.070518,1.031110988080196,32.08393128806087,0.22
2021/5/27,BTCUSDT,39241.92,40411.14,37134.27,38529.98,3361413526.053544,2102182,107.26,27,Fear,53122.10061538462,-14592.12062,-1.872977214,48725.657666666666,53122.10061538462,4991597591.9934025,1.0240428829320436,31.223229890501045,0.27
2021/5/28,BTCUSDT,38529.99,38877.83,34684,35663.49,4926260941.933613,2659178,122.55,21,Extreme Fear,52857.57621212121,-17194.08621,-2.115614623,48086.23333333333,52857.57621212121,5055131530.474301,1.0286476220525436,28.0953905328808,0.21
2021/5/29,BTCUSDT,35661.79,37338.58,33632.76,34605.15,3949843335.322595,2169643,129.3,18,Extreme Fear,52585.15194029851,-17980.00194,-2.120722012,47454.57166666666,52585.15194029851,5092685630.469187,1.0278870257535266,29.965883219896355,0.18
2021/5/30,BTCUSDT,34605.15,36488,33379,35641.27,2601994948.148242,1559892,123.61,10,Extreme Fear,52335.97720588236,-16694.70721,-1.898500378,46719.471666666665,52335.97720588236,5052479216.316148,1.042596774890099,32.62301243869467,0.1
2021/5/31,BTCUSDT,35641.26,37499,34153.84,37253.81,3406047734.831128,1896359,106.47,18,Extreme Fear,52117.39507246376,-14863.58507,-1.638277949,46034.58633333333,52117.39507246376,5084002708.982435,1.061330975599993,39.44414115844797,0.18
2021/6/1,BTCUSDT,37253.82,37894.81,35666,36693.09,2973928300.375587,1760417,108.23,20,Extreme Fear,51897.04785714286,-15203.95786,-1.631721344,45371.749,51897.04785714286,5113474877.9803,0.985278918542237,39.61387374274645,0.2
2021/6/2,BTCUSDT,36694.85,38225,35920,37568.68,2523462575.688438,1530915,103.17,23,Extreme Fear,51695.23985915493,-14126.55986,-1.473703655,44718.392,51695.23985915493,5086336812.4156685,0.9929785256018525,51.803722534798915,0.23
